transcript_link,date,youtube_link
/et/202302131500,2023-02-13 15:00:00,https://www.youtube.com/watch?v=QsQCsRgxJYk
/et/202302141000,2023-02-14 10:00:00,https://www.youtube.com/watch?v=zcVHztwxbhU
/et/202302151200,2023-02-15 12:00:00,https://www.youtube.com/watch?v=dAN_0Y0BEmM
/et/202302151400,2023-02-15 14:00:00,https://www.youtube.com/watch?v=um-sGLA7aWg
/et/202302161000,2023-02-16 10:00:00,https://www.youtube.com/watch?v=nyKzPXyLezw
/et/202302201500,2023-02-20 15:00:00,https://www.youtube.com/watch?v=Li_fH3kAdlI
/et/202302211000,2023-02-21 10:00:00,https://www.youtube.com/watch?v=0wNptPbK6b0
/et/202302221200,2023-02-22 12:00:00,https://www.youtube.com/watch?v=5gAs8TPyjbA
/et/202302221400,2023-02-22 14:00:00,https://www.youtube.com/watch?v=AeqDmT48_Ss
/et/202302231000,2023-02-23 10:00:00,
/et/202304101400,2023-04-10 14:00:00,https://www.youtube.com/watch?v=x3Meb-_7K8A
/et/202304111000,2023-04-11 10:00:00,https://www.youtube.com/watch?v=HnPgbtAF00g
/et/202304121400,2023-04-12 14:00:00,https://www.youtube.com/watch?v=I4e5-jaf_2M
/et/202304131000,2023-04-13 10:00:00,
/et/202304171500,2023-04-17 15:00:00,https://www.youtube.com/watch?v=ou0tvuRRSxo
/et/202304181000,2023-04-18 10:00:00,https://www.youtube.com/watch?v=g2tIe-reujw
/et/202304191200,2023-04-19 12:00:00,https://www.youtube.com/watch?v=xLLy1puYcNM
/et/202304191400,2023-04-19 14:00:00,https://www.youtube.com/watch?v=CZRDiKBPPnI
/et/202304201000,2023-04-20 10:00:00,
/et/202304241500,2023-04-24 15:00:00,https://www.youtube.com/watch?v=bkB7PGU6mhg
/et/202304251000,2023-04-25 10:00:00,
/et/202304261200,2023-04-26 12:00:00,https://www.youtube.com/watch?v=m9UJhvQh4Cs
/et/202304261400,2023-04-26 14:00:00,
/et/202304271000,2023-04-27 10:00:00,https://www.youtube.com/watch?v=6mBYUJQfft8
/et/202305081500,2023-05-08 15:00:00,
/et/202305091000,2023-05-09 10:00:00,
/et/202305101200,2023-05-10 12:00:00,https://www.youtube.com/watch?v=oJe9jzAC790
/et/202305101400,2023-05-10 14:00:00,
/et/202305111000,2023-05-11 10:00:00,
